Qty,Reference(s),Value,Footprint
9,"C1, C2, C5, C6, C8, C9, C10, C12, C17",0.1uF,Capacitor_SMD:C_0805_2012Metric
1,C3,22uF,Capacitor_SMD:C_1206_3216Metric
1,C4,220uF,Capacitor_SMD:CP_Elec_8x10.5
6,"C7, C11, C13, C14, C15, C16",10uF,Capacitor_SMD:C_0805_2012Metric
1,D1,SMBJ6.0A,Diode_SMD:D_SMB
1,D2,POWER,LED_SMD:LED_0805_2012Metric
4,"D3, D4, D5, D6",CH1,LED_SMD:LED_0805_2012Metric
1,F1,250V 0.5A (slow),Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open
4,"F2, F3, F4, F5",Fuse,Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open
1,J1,AC_IN,TerminalBlock_RND:TerminalBlock_RND_205-00287_1x02_P5.08mm_Horizontal
1,J2,TH2,TerminalBlock_RND:TerminalBlock_RND_205-00233_1x03_P5.08mm_Horizontal
1,J3,TH1,TerminalBlock_RND:TerminalBlock_RND_205-00233_1x03_P5.08mm_Horizontal
1,J4,I2C,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical
1,J5,VoltLink_target,Voltlog:VoltLink
1,J6,ADC,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical
1,J7,GPIO,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical
4,"J8, J9, J10, J11",,TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal
4,"K1, K2, K3, K4",FINDER-36.11,Relay_THT:Relay_SPDT_Finder_36.11
1,PS1,TAS5-5-W,Voltlog:TDPOWER-TAS5
2,"R1, R6",10K,Resistor_SMD:R_0805_2012Metric
4,"R2, R3, R4, R5",4K7,Resistor_SMD:R_0805_2012Metric
1,R7,1K,Resistor_SMD:R_0805_2012Metric
1,RN1,270R,Resistor_SMD:R_Array_Convex_4x0603
1,RN3,2K,Resistor_SMD:R_Array_Convex_4x0603
1,RV1,275V,Varistor:RV_Disc_D12mm_W5mm_P7.5mm
1,SW1,USER,Button_Switch_SMD:SW_SPST_PTS645
1,U1,ESP32-WROOM-32D,RF_Module:ESP32-WROOM-32
1,U2,NCP1117-3.3_SOT223,Package_TO_SOT_SMD:SOT-223-3_TabPin2
1,U3,FM24C64C,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
1,U4,ULN2003AD,Package_SO:SO-16_3.9x9.9mm_P1.27mm
